Title,Speaker 1,Company 1,Bio 1,Speaker 2,Company 2,Bio 2,Description,Date,Sorting time,Time Start EDT,Time Start CEST,Time Close EST,Time Close CET,Duration,Label,Youtube URL
Liquibase Data: Version Control and Collaboration for the Database,Robert Reeves,Liquibase,"Robert leads Liquibase’s technology strategy. His is as passionate about supporting everyone he can with Liquibase as he is about punk rock and comic books. Prior to co-founding Liquibase, he was a Director at the Austin Technology Incubator and co-founded Phurnace Software, inventing their flagship product for middleware and infrastructure management. A US Army veteran, Robert holds an Economics degree from the University of Texas at Austin and an MS degree in Science and Technology Commercialization from the McCombs School of Business.",,,,"Liquibase is the defacto standard for versioning your database schema. With 15 years of use by the largest enterprises, Liquibase is a proven Open Source DevOps Solution. Now, with Liquibase Data, users can apply git-like workflows to development and test environments. See how free Open Source Liquibase can accelerate database development and cross-team deployments.",June 21,2022-06-21 17:00,"Jun 21, 5:00 PM","Jun 21, 23:00 ",,,,,https://youtu.be/AbfjW5HhG6I
ProxySQL 2021 Dev Submit,Javier Jaramago Fernández,ProxySQL,"Systems engineer, OpenSource contributor, currently at ProxySQL. Interested in systems programming, databases, distributed and critical systems.",,,,"ProxySQL has proven itself as the de-facto standard reverse proxy for MySQL, yet, we are always looking for new features and improvements. During this past year starting with v2.1.0, four new major ProxySQL versions were released, and with them new features of all sorts were introduced, ranging from protocol changes, authentication improvements, clustering improvements, new monitoring features (for Galera, Group Replication, Aurora AWS) to DDOS protection. Join us for a deeper dive on the details of these (and more) new features, what they have to offer and how you can get the most out of them.",June 21,2022-06-21 17:15,"Jun 21, 5:15 PM","Jun 21, 23:15 ",,,,,https://youtu.be/B6xKTQy_kIQ
The Lost Art of Database Design,Matt Yonkovit,Percona,"Matt is currently working as the Head of Open Source Strategy (HOSS) for Percona, a leader in open source database software and services. He has over 15 years of experience in the open source industry including over 10 years of executive-level experience leading open source teams. Matt’s experience merges the technical and business aspects of the open source database experience with both a passion for hands on development and management and the leadership of building strong teams. During his time he has created or managed business units responsible for service delivery (consulting, support, and managed services ), customer success, product management, marketing, and operations. He currently leads efforts around Percona’s OSPO, community, and developer relations efforts. He hosts the HOSS talks FOSS podcast, writes regularly, and shares his MySQL and PostgreSQL knowledge as often as possible.",,,,"Right now we are in a spot where people think that the databases are just part of the commoditized infrastructure. But unfortunately, that leads us to a lot of problems. And Matt Yonkovit, The Head of Open Source Strategy at Percona, is talking about database design here. There are a lot of people out there who have never heard why they should focus on designing their databases, and their database infrastructure a little better. So multiple people can benefit from this talk.",June 21,2022-06-21 18:00,"Jun 21, 6:00 PM","Jun 22, 00:00 ",,,,,https://youtu.be/HIqn5D3h-LE
The Journey to Achieve 1000x TPS for a Real-World Core Banking Application on TiDB,Sidney Chen,PingCAP,Performance Engineer,,,,"Performance tuning is complicated, especially with a distributed database like TiDB. It becomes even more challenging when the whole system is running on arm64-based servers.",June 22,2022-06-22 07:00,"Jun 22, 7:00 AM","Jun 22, 13:00 ",,,,,https://youtu.be/jSrK0x1MmYk
Overview of Different ALTER Algorithms and Its Locking Scenarios in MySQL (DEMO),Sri Sakthivel M.D.,Percona,"MySQL Lover! Good food Lover! Love to ride bike! Good Father of ""Tamil Athithyan""",,,,I would like to show the demo session on describing the different MySQL ALTER Algorithms ( COPY / INPLACE / INSTANT ) and how they are performing with different locking methods ( Exclusive / Shared / None ).,June 22,2022-06-22 08:00,"Jun 22, 8:00 AM","Jun 22, 14:00 ",,,,,https://youtu.be/MqWQH-WWFBE
Let's Talk About MySQL Query Tuning,Gabriel Ciciliani,Independent consultant,"Gabriel has been dedicated to databases as a DBA and consultant for the last 15 years. He has led and participated in multiple projects across many technologies, including Oracle, MySQL, SQL Server and MongoDB. Gabriel defines himself as an automation super fan and he contributed to the development of two custom DBaaS platforms.",,,,"Regardless of development frameworks, despite linters, besides countless sessions with the DBA, slow queries always end up making it to production. Proactive and reactive slow query tuning is still critical to ensure poorly written queries aren't undermining server performance and wasting valuable compute resources. Cloud-based database managed services are not the exception: slow query root cause analysis requires human intervention. In this session I will discuss why slow query tuning is more relevant than ever, how to detect problems and guidelines to fix them.",June 22,2022-06-22 09:00,"Jun 22, 9:00 AM","Jun 22, 15:00 ",,,,,https://youtu.be/nOq66VzIOKg
Optimization Techniques in MySQL,Yunus Shaikh,Percona,Mysql database administrator,,,,"Optimization of mysql with indexing, server tuning and OS tuning to make performance better",June 22,2022-06-22 10:00,"Jun 22, 10:00 AM","Jun 22, 16:00 ",,,,,https://youtu.be/oFTFch9_wSM
Database Reliability Engineering for MySQL,Matthias Crauwels,Pythian,"Since the age of 10 I’ve always been passionate about computers. I’ve been working with them ever since. In 2005 I got my degree in computer science. I used to work at a major Belgian university where I was developing the e-learning applications. In that position, I was the one who looked after the databases. In 2017 I left the university and joined Pythian as a MySQL Database Consultant. Currently I am a Principal Consultant at Pythian providing technical thought leadership for the Open-Source database practice.",,,,"A common request that we get from our clients is to make MySQL highly available or to enhance existing architecture. We have standardized our approach by combining a proxy layer, for traffic redirection, a topology management tool, for master failover/switchover, and some additional tools to glue together both layers.",June 22,2022-06-22 11:00,"Jun 22, 11:00 AM","Jun 22, 17:00 ",,,,,https://youtu.be/GkIYGxXxlz8
Walking Through Identifying and Drilling Into a Slow Down in MongoDB,Divyanshu Soni,Percona,,,,,"Divyanshu Soni, MongoDB DBA II in Managed Services at Percona, is talking about walking through identifying and drilling into a slowdown in MongoDB. Dive into the different reasons behind that and how you can overcome all issues that you might face in your database. This video is going through the best practices:
- Always follow proper and systematic approach while initiating your troubleshooting
- The reasons behind slowdown and performance issues, the root causes and symptoms
- Few PMM dashboards, Percona Monitoring and Management dashboards, which is our open source monitoring tool to help identify where the issues could arise
- Exploring query Analytics
- Need for scalability
- And last, but not the least, is improving the best practices",June 22,2022-06-22 13:00,"Jun 22, 1:00 PM","Jun 22, 19:00 ",,,,,https://youtu.be/T26F10te-BQ
PostgreSQL and Artificial intelligence,Ibrar Ahmed,Percona,"Ibrar Ahmed is a Senior Software Architect in Percona LLC. Before coming to open source development, he had vast experience in software design and development. His primary focus was on system-level embedded development. After joining EnterpriseDB in 2006, an Enterprise PostgreSQL company, he started his career in open source development, specifically in PostgreSQL. He has contributed to the PostgreSQL community as well as other open source communities. His contribution ranges from the main performance feature enhancements to various PostgreSQL modules. In the database field, he has experience in other well-known databases MySQL, Oracle, and NoSQL databases such as MongoDB and Hadoop. His expertise is not limited to core databases but with the tools related to databases like Hive, HBase, and Spark. He also worked on integrating these tools with PostgreSQL. 

Ibrar gave more than fifteen PostgreSQL talks in the last year in various parts of the World (PostgreConf-EU, PostgreConf-ASIA,  PostgreConf-NY, Percona Lives, FOSDEM, etc.). He also authored multiple books on PostgreSQL. 



",,,,"Artificial intelligence, machine learning, and deep learning are intertwined capabilities that attempt to solve problems that defy traditional computational solutions --- problems including fraud detection, voice recognition, and search result recommendations. While they elude simple computation, they are computationally expensive, involving the calculation of perhaps millions of probabilities and weights. These computations can be done outside the database, but there are specific advantages of doing machine learning inside it, close to where the data is stored. This presentation explains how to do machine learning inside the Postgres database.
",June 22,2022-06-22 14:00,"Jun 22, 2:00 PM","Jun 22, 20:00 ",,,,,https://youtu.be/u4X-gJ0lUgA
The Low Hanging Fruits of MySQL,Kedar Vaijanapurkar,Percona,"Kedar is an experienced Database Consultant with a demonstrated history of working in the information technology and services industry. He's been working with MySQL ecosystem and interested in expanding his knowledge in Cloud Databases. He lives in Vadodara, India with kids, Aarya & Rudra and a better half, Madhumita.",,,,MySQL is one of the top used database system and with highly active community. Though without proper configuration you may not squeeze the most out of it.,June 22,2022-06-22 15:00,"Jun 22, 3:00 PM","Jun 22, 21:00 ",,,,,https://youtu.be/y8-ecVLcaaY
Using PMM Alerting in Production,Francisco Bordenave,Percona,"Francisco has been working in MySQL since 2006, he has worked for several companies which includes Health Care industry to Gaming. Over the last years he has been working as a database architect which help him to acquire a lot of technical and multi-cultural skills.",,,,"Now that you're using PMM to identify slow queries and chart your database activity, what PMM can do for you to avoid problems? PMM is getting more and more popular for monitoring databases while features are increasing and allowing us to do more with less effort. In this talk we will show you how PMM can help you on your day to day operational tasks to prevent issues by setting up alerts. Also we will show you how PMM can integrate with most popular pager tools like pager duty or slack.",June 22,2022-06-22 16:00,"Jun 22, 4:00 PM","Jun 22, 22:00 ",,,,,https://youtu.be/iEswpVQnDv0
The Future of MyDumper,David Ducos,Percona,"David studied Computer Science in National University of La Plata and has worked as a DBA consultant since 2008. For 3 years he worked with a worldwide platform of free classifieds up until he joined Percona's consulting team in November 2014. David lives in La Plata, near Buenos Aires, Argentina and in his free time loves to spend time with his family. He is also the maintainer of MyDumper.",,,,"MyDumper has changed a lot in the last year. We are going to high-level review the features added, new use cases and enhancements that are going to be added in future release and how they are going to impact in performance.",June 22,2022-06-22 17:00,"Jun 22, 5:00 PM","Jun 22, 23:00 ",,,,,https://youtu.be/JnPuIdLh16U
Production with ProxySQL and Orchestrator,Alawi Assaggaf,8x8,MySQL DBA with 10 years experience in the industry.,,,,"Covering 3 use case scenarios to implement HA utilizing ProxySQL, Orchestrator and Load Balancers in production environments.",June 22,2022-06-22 18:00,"Jun 22, 6:00 PM","Jun 23, 00:00 ",,,,,https://youtu.be/6Cz-ZZodSXM
Database as Code. Not only migrations,Maksim Gramin,Independent consultant and researcher,"Maksim Gramin is a software consultant, researcher and developer passionate about Databases and SQL",,,,"If you have just dropped your DB migrations scripts to your pipeline, then it's great, but that's where ""Database as Code"" is just getting started. In this talk, I will share my view on ""Database as Code"" mantra.",June 23,2022-06-23 07:00,"Jun 23, 7:00 AM","Jun 23, 13:00 ",,,,,https://youtu.be/_XgLLJQ5pZw
The Road Towards an Open Database Performance Ranking,Daniel Seybold,benchANT,"Daniel Seybold started his career as PhD student in the area of cloud computing with a focus on distributed databases in the cloud. Further interests cover cloud orchestration, model-driven engineering, and performance evaluations of distributed systems. After completing his PhD, Daniel co-founded the Benchmarking-as-a-Service platform benchANT, where he is responsible for the product development.",,,,"Understanding the performance of different databases is crucial for building efficient, data-intensive applications. Benchmarking possible databases is a valid option for enabling such comparison, yet, it is a major challenge due to heterogeneity in the resource, database, and workload level. To enable an on-demand comparison of cloud-hosted databases, we present a database performance ranking as an open dataset that is created with the Benchmarking-as-a-Service platform benchANT. This ranking will be continuously extended to cover the latest advancements in the cloud resource, database, and benchmark domain.",June 23,2022-06-23 07:10,"Jun 23, 7:10 AM","Jun 23, 13:10 ",,,,,
PMM on Kubernetes,Denys Kondratenko,Percona,I am Engineering Manager in Percona working on Percona Monitoring and Management solution.,,,,"How to run PMM on Kubernetes, demonstration and discussion of technology choices. Tip and tricks and relation to DBaaS. Q&A",June 23,2022-06-23 08:00,"Jun 23, 8:00 AM","Jun 23, 14:00 ",,,,,https://youtu.be/bqvE_5tcL5M
PMM Development Process,Denys Kondratenko,Percona,Engineering Manager at Percona,,,,"I would discuss how to contribute to the PMM project, what process we use and show example of code contribution to the parts of PMM.",June 23,2022-06-23 09:00,"Jun 23, 9:00 AM","Jun 23, 15:00 ",,,,,
Cross-Cloud Migrations With Databases on Kubernetes,Sergey Pronin,Percona,"Sergey is a passionate technology ""driver"". After graduation worked in various fields: internet service provider, financial sector and M&A business. Main focal points were infrastructure and products around it. At Percona as a Product Manager drives forward Kubernetes and Cloud databases solutions.",,,,In this talk you will learn how Kubernetes and Percona Operators can help you to avoid vendor lock-in when you run your databases in containers with Percona Operators.,June 23,2022-06-23 10:00,"Jun 23, 10:00 AM","Jun 23, 16:00 ",,,,,https://youtu.be/-U8dOzQqlJI
Percona Pstress: A Concurrency and Crash Recovery Testing Tool to Test MySQL,Rahul Malik,Percona,C++ Software Engineer in Percona,,,,"How Pstress works, success so far with MySQL testing. ",June 23,2022-06-23 13:00,"Jun 23, 1:00 PM","Jun 23, 19:00 ",,,,,https://youtu.be/LB-dC9CDBOc
Physical Backups with Percona Backup for MongoDB,Sergey Pronin,Percona,"Sergey is a passionate technology ""driver"". After graduation worked in various fields: internet service provider, financial sector and M&A business. Main focal points were infrastructure and products around it. At Percona as a Product Manager drives forward Kubernetes and Cloud databases solutions.",,,,"Reduce Recovery Time Objective with new Physical Backups functionality in Percona Backup for MongoDB (PBM). We will explain the value, the limitations of our solution and go deeper into the mechanics of how it works.",June 23,2022-06-23 14:00,"Jun 23, 2:00 PM","Jun 23, 20:00 ",,,,,https://youtu.be/j-T5E_elGYw
The Open-Source Distributed Graph Database: Nebula Graph,Wey Gu,vesoft,"Wey is a software engineer living in Shanghai, China.",,,,"Nebula Graph is a young Open Source Graph Database that excels at huge data volume OLTP scenarios, started from 18' with v3.0 being released on Feb. 22', Nebula had been adopted by many teams including WeChat/Baidu/Meituan/Bigo/Akulaku as the Graph Storage Layer.",June 23,2022-06-23 15:00,"Jun 23, 3:00 PM","Jun 23, 21:00 ",,,,,https://youtu.be/NVrDLVBUFyo
PostgreSQL Query Performance Insights,Hamid Akhtar,Percona,"Hamid has more than two decades of professional software development experience and has been involved with PostgreSQL for more than a decade now. He was part of EnterpriseDB where managed PostgreSQL official installers for Windows, Linux, and macOS. At HighGo Software, he was one of the leading PostgreSQL Architect working on multiple in-house solutions including in-memory solutions, ORC FDW and various performance features. Hamid is currently the Technical Product Manager for PostgreSQL at Percona where is taking care of Percona Distribution for PostgreSQL.",,,,"Understanding query performance patterns are essentially the foundation for query performance tuning. It, in many ways, dictates how a database cluster evolves. And then there are obviously direct and indirect cost connotations as well.

With improved observability, using the right tools, you can get the best out of your existing setup and ensure that it is able to handle not only the average load profile but peak load as well. We'll see how different tools like pg_stat_activity, pg_stat_statements, auto_explain, pgBadger, and pg_stat_monitor can deliver a complete picture to help measure, analyze and optimize your queries and database system.",June 23,2022-06-23 16:00,"Jun 23, 4:00 PM","Jun 23, 22:00 ",,,,,https://youtu.be/km_JeUGHGXw
PostgreSQL Replication Conflicts: Avoiding Pitfalls,Hamid Akhtar,Percona,"Hamid has more than two decades of professional software development experience and has been involved with PostgreSQL for more than a decade now. He was part of EnterpriseDB where managed PostgreSQL official installers for Windows, Linux, and macOS. At HighGo Software, he was one of the leading PostgreSQL Architect working on multiple in-house solutions including in-memory solutions, ORC FDW and various performance features. Hamid is currently the Technical Product Manager for PostgreSQL at Percona where is taking care of Percona Distribution for PostgreSQL.",,,,"Experiencing replication conflicts is not too unfamiliar a sight. Whether one experiences replication lag, slots, locks, snapshots, tablespace issues, or other conflicts, establishing a set of best practices along with using proper observability tools will help avoid potential issues. This talk focuses on what to do and what not to in order to avoid database conflicts in streaming replication setups by providing deep insight into how issues are PostgreSQL internals.",June 23,2022-06-23 17:00,"Jun 23, 5:00 PM","Jun 23, 23:00 ",,,,,https://youtu.be/RmuTMRkgbDY
Common Possible Preventative Measures to Avoid Locking Issue in PostgreSQL,Naveed Shaikh,Percona,,,,,"Let's discuss about the preventive measures to avoid the locking issue in PostgreSQL. Here are the main thumb rules, golden rules for processing police",June 23,2022-06-23 18:00,"Jun 23, 6:00 PM","Jun 24, 00:00 ",,,,,https://youtu.be/opdZbJ3X_y8
