Name (Required),Company,Position,Location,Bio/Description,Link To Image File
Alex Depoutovitch,Huawei,Senior Principle Engineer,,"Bio: Alex Depoutovitch is a software researcher and engineer with over 20 years of experience. He got his Master of Science degree in Physics and Mathematics from Moscow Institute of Physics and Technology in 2000. In 2011, he received  a Ph.D. degree in Computer Science from University of Toronto. He worked in different software companies in both the USA and Canada, published papers at the leading systems and database conferences, and authored several patents. His research interests include operating systems, distributed databases, fault tolerance, and performance optimization.",https://avatars.sched.co/9/51/14629583/avatar.jpg.320x320px.jpg?c7d
Frederic Descamps,Oracle,MySQL Community Manager,,"@lefred has been working with OpenSource and MySQL for more than 20 years. After graduating in Management Information Technology, Frédéric started his career as a developer for a big multinational company. He will then opt for a consultant role with one of the first Belgian start-ups fully dedicated to Open Source projects around GNU/Linux. He joined the MySQL Community Team in 2016 as MySQL Community Manager.",https://avatars.sched.co/0/b6/11749961/avatar.jpg.320x320px.jpg?710
Igor Donchovski,Pythian,Principal Consultant,,"<p>Principal consultant supporting the next-generation of database solutions in both MySQL and MongoDB. With a masters degree in Software Engineering, I enjoy the variety of challenges I face while working at Pythian, rather than working on the same thing every day. Oracle Certified Professional, MongoDB Certified DBA, GCP Professional Architect. </p>",https://avatars.sched.co/a/81/14598188/avatar.jpg.320x320px.jpg?e10
Peter Farkas,FerretDB,Founder and CEO,,"Peter’s main area of expertise is leading and managing distributed teams working on Open Source projects. He spent the majority of his career in Open Source, particularly in the database and Big Data fields at companies like Percona and Cloudera. During his time at Percona, he played a key role in building Percona Support, which quickly became a reference point in the industry in terms of service quality and excellence in Enterprise Open Source database software support. Peter holds a Master’s degree in Management from the University of Buckingham, and enjoys reading and exploring new places around the world.",https://avatars.sched.co/e/8f/14629589/avatar.jpg.320x320px.jpg?264
Leonardo Bacchi Fernandes,Percona,Support Engineer,,Leonardo joined Percona as a Support Engineer in 2019 where he works mainly with MySQL and MongoDB. Leonardo has a Bachelor's degree in Computer Science and has been working with databases for the last 8 years.,https://avatars.sched.co/a/fe/14603168/avatar.jpg.320x320px.jpg?cd6
Mohammed Gaafar,Booking.com,,,,https://avatars.sched.co/f/e3/14737022/avatar.jpg.320x320px.jpg?d27
Jean-François Gagné,HubSpot,System and MySQL Expert,,"Jean-François is a System / Infrastructure Engineer and MySQL Expert.  He currently works at HubSpot.  Before that, J-F missions were scaling and improving the MySQL and MariaDB infrastructure at MessageBird and Booking.com.  He was also involved in projects related to systems, storage, network and security.  JF has a good understanding of MySQL replication and a respectable understanding of InnoDB, MySQL, Linux, and TCP/IP.  Before Booking.com, he worked as a System / Network / Storage Administrator in a Linux and VMWare environment, as an Architect for a Mobile Network and Service Provider, and as a C and Java Programmer in an IT Service Company.  Even before that, when he was learning computer science, Jeff studied cache consistency in distributed systems and network group communication protocols (yes, this is the same group as in Group Replication).",https://avatars.sched.co/6/fc/14598813/avatar.jpg.320x320px.jpg?9b6
Agustin Gallego,Percona,Senior Support Engineer,Uruguay,"Agustín joined Percona's Support team in 2013, after being part of the Administrative team from February 2012. He is studying to get a Computer Systems Engineer degree at the Universidad de la República, in Uruguay",https://avatars.sched.co/b/d8/12812052/avatar.jpg.320x320px.jpg?144
Vinicius Grippa,Percona,Senior Support Engineer,Brazil,"Vinicius Grippa is a Percona Senior Support Engineer, Oracle Ace, and author of the book Learning MySQL. Vinicius has a Bachelor's degree in Computer Science and has been working with databases for 16 years. He has experience in designing databases for mission-critical applications and, in the last few years, has become a specialist in MySQL and MongoDB ecosystems. Working in the Support team, he has helped Percona customers with hundreds of different cases featuring a vast range of scenarios and complexities. Vinicius is also active in the OS community, participating in virtual rooms like Slack, and speaking at MeetUps, and presenting conferences in Europe, Asia, North and South America.",https://avatars.sched.co/e/fd/12812304/avatar.jpg.320x320px.jpg?fdf
Ivan Groenewold,Percona,Architect,Argentina,"Ivan has spent 15+ years architecting and supporting mission-critical environments for top-of-the-line companies. He has vast experience running on-prem or in the cloud, using diverse database technologies like Oracle, MySQL and MongoDB.<br>He is also regular speaker & contributor to the open-source community.",https://avatars.sched.co/4/94/12812247/avatar.jpg.320x320px.jpg?110
